               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.023148,            0.010682,           0.0093632,             0.96346,             0.98401,             0.98587,             0.87929,            0.012756,           0.0056573,            0.003968,           0.0071125,           0.0071125,           0.0071125
                  37,            0.022898,            0.010614,           0.0089815,             0.95917,             0.98568,             0.98446,              0.8787,            0.012558,           0.0056615,           0.0038728,             0.00703,             0.00703,             0.00703
                  38,            0.022653,             0.01055,           0.0088465,             0.95707,             0.98567,             0.98424,             0.87824,            0.012444,           0.0056158,           0.0037538,           0.0069475,           0.0069475,           0.0069475
                  39,            0.022505,            0.010446,           0.0088053,             0.96033,             0.98193,             0.98473,              0.8816,            0.012363,           0.0055745,           0.0037051,            0.006865,            0.006865,            0.006865
                  40,            0.022275,            0.010298,           0.0086381,             0.95696,             0.98407,             0.98402,             0.88102,            0.012298,           0.0055605,           0.0035825,           0.0067825,           0.0067825,           0.0067825
                  41,            0.022222,            0.010284,           0.0086578,             0.96339,             0.98062,             0.98562,             0.88498,            0.012139,           0.0054802,           0.0035167,              0.0067,              0.0067,              0.0067
                  42,            0.021918,             0.01043,           0.0086173,              0.9651,             0.97769,             0.98542,              0.8836,             0.01214,           0.0054762,           0.0034815,           0.0066175,           0.0066175,           0.0066175
                  43,            0.021663,            0.010257,           0.0082558,             0.96147,             0.98281,             0.98524,             0.88322,            0.012015,           0.0054579,           0.0034192,            0.006535,            0.006535,            0.006535
                  44,            0.021738,            0.010309,           0.0085388,             0.95747,             0.98419,             0.98437,             0.88352,            0.011963,           0.0054865,             0.00336,           0.0064525,           0.0064525,           0.0064525
                  45,            0.021501,            0.010279,           0.0082842,             0.96353,             0.97992,              0.9852,              0.8853,            0.011873,           0.0054454,           0.0032838,             0.00637,             0.00637,             0.00637
                  46,            0.021306,             0.01006,           0.0079081,             0.96617,             0.97922,             0.98591,             0.88815,            0.011764,           0.0053788,           0.0032692,           0.0062875,           0.0062875,           0.0062875
                  47,             0.02111,            0.010024,           0.0080552,             0.96728,             0.97739,             0.98574,             0.88875,            0.011724,           0.0053526,           0.0032015,            0.006205,            0.006205,            0.006205
                  48,            0.021132,            0.010029,           0.0078957,              0.9635,             0.98195,             0.98586,             0.88856,            0.011608,            0.005333,           0.0031435,           0.0061225,           0.0061225,           0.0061225
                  49,            0.020869,           0.0099398,           0.0078873,             0.96801,              0.9812,             0.98665,             0.89049,            0.011557,           0.0052924,           0.0030991,             0.00604,             0.00604,             0.00604
                  50,            0.020801,           0.0099877,           0.0076514,             0.96997,             0.98187,              0.9875,             0.89183,            0.011552,           0.0052576,           0.0030668,           0.0059575,           0.0059575,           0.0059575
                  51,            0.020675,           0.0099244,            0.007563,             0.96727,             0.98308,             0.98715,              0.8914,            0.011479,            0.005244,           0.0030305,            0.005875,            0.005875,            0.005875
                  52,            0.020299,           0.0098248,           0.0075434,             0.96736,             0.98208,             0.98679,             0.89159,            0.011434,           0.0052332,            0.002985,           0.0057925,           0.0057925,           0.0057925
                  53,            0.020416,           0.0098489,           0.0074598,             0.96872,             0.98248,             0.98739,             0.89198,            0.011405,           0.0052162,            0.002966,             0.00571,             0.00571,             0.00571
                  54,            0.020334,           0.0098124,            0.007434,             0.96937,             0.98121,              0.9873,             0.89305,            0.011348,           0.0051927,            0.002927,           0.0056275,           0.0056275,           0.0056275
                  55,            0.020102,           0.0096207,           0.0070175,             0.96759,             0.98363,             0.98723,             0.89286,            0.011304,           0.0051795,           0.0028865,            0.005545,            0.005545,            0.005545
                  56,             0.01994,           0.0096302,           0.0070538,              0.9683,              0.9829,             0.98725,             0.89309,            0.011282,           0.0051731,           0.0028467,           0.0054625,           0.0054625,           0.0054625
                  57,             0.01979,           0.0095417,           0.0068173,              0.9689,             0.98266,             0.98744,             0.89415,            0.011233,           0.0051548,           0.0028149,             0.00538,             0.00538,             0.00538
                  58,            0.019756,           0.0097026,           0.0070426,             0.96943,             0.98256,             0.98748,             0.89464,            0.011196,           0.0051414,           0.0027829,           0.0052975,           0.0052975,           0.0052975
